n,t_count,instance,n_query,mae,wall_seconds,n_nonzero
12,10,0,4000,0.13034190369241444,82.14693093299866,85451
12,10,0,8000,0.09344814789599956,150.50413489341736,58166
12,10,1,1000,0.9888818152924438,22.71680450439453,235328
12,10,1,2000,0.32764955544235486,38.42049837112427,139205
12,10,1,4000,0.1798327682704384,87.62591910362244,90128
12,10,1,8000,0.1176660727394847,172.55275964736938,60925
12,10,2,1000,0.477250052824261,22.34417700767517,224480
12,10,2,2000,0.2957544270288328,48.781343936920166,138077
12,10,2,4000,0.16145454215096453,78.84907984733582,92291
12,10,2,8000,0.11346804953827898,147.4862082004547,68216
12,12,0,1000,0.5870163229605787,20.577012538909912,222143
12,12,0,2000,0.3536299366394208,36.01644206047058,139698
12,12,0,4000,0.1328873651665088,80.7710657119751,87713
12,12,0,8000,0.11606520408861143,151.27540922164917,73038
12,12,1,1000,0.5134550640766669,22.20152997970581,234097
12,12,1,2000,0.3138134311379937,35.10931944847107,138486
12,12,1,4000,0.166153527351167,82.05276274681091,89704
12,12,1,8000,0.08464916227914375,165.69691276550293,55315
12,12,2,1000,0.5474614640443377,23.11007332801819,223042
12,12,2,2000,0.23899629442636483,39.715033531188965,139050
12,12,2,4000,0.17310636685064268,72.74493098258972,92664
12,12,2,8000,0.17186580511892297,146.33640146255493,77569
12,14,0,1000,0.5508955600116402,18.601608514785767,231830
12,14,0,2000,0.3228555599745528,38.236772775650024,158412
12,14,0,4000,0.15093103049209503,75.89931321144104,87952
12,14,0,8000,0.15019735656354563,145.00976300239563,65467
12,14,1,1000,0.5738301923856608,18.439451932907104,225673
12,14,1,2000,0.34246837287414356,37.11792254447937,142157
12,14,1,4000,0.18826471395470967,89.65794324874878,107519
12,14,1,8000,0.11658029365273796,163.41379570960999,69987
12,14,2,1000,1.481492420057122,24.925527572631836,228214
12,14,2,2000,0.27813575778536326,39.09269833564758,137872
12,14,2,4000,0.17474082714965858,69.23493957519531,93081
12,14,2,8000,0.10145491280647449,148.51922631263733,56374
12,16,0,1000,0.5765212459877322,21.17216992378235,231233
12,16,0,2000,0.34435267567921807,34.79353618621826,142518
12,16,0,4000,0.20225048173598817,83.80912733078003,106948
12,16,0,8000,0.07808307704455128,152.3588149547577,58150
12,16,1,1000,0.42769059198880843,20.961583614349365,216476
12,16,1,2000,0.2938807139013064,37.41145300865173,143977
12,16,1,4000,0.17844634892995329,87.62818479537964,92299
12,16,1,8000,0.1484355563973152,174.70973134040833,76056
12,16,2,1000,0.5122257789626108,21.31089162826538,236691
12,16,2,2000,0.29857831605253093,40.018752098083496,136536
12,16,2,4000,0.16398771987018854,73.62195134162903,89177
12,16,2,8000,0.09971107020965289,118.58758306503296,56011
